rank	lexeme_id	cell	system	policy	expected_expanded	expected_printed	source_id	passage	provenance	decision	review_reason
34	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:locative:plural:masculine:animate:long:positive	adjective	strict	мнозѣхъ	мно́зѣхъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive
35	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:locative:plural:masculine:inanimate:long:positive	adjective	strict	мнозѣхъ	мно́зѣхъ	ponomar-elizabeth-bible-2026-08-09	Acts.1.3	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:plural:feminine:animate:long:positive,adjective:genitive:plural:feminine:inanimate:long:positive,adjective:genitive:plural:masculine:animate:long:positive,adjective:genitive:plural:masculine:inanimate:long:positive,adjective:locative:plural:masculine:animate:long:positive,adjective:locative:plural:masculine:inanimate:long:positive
36	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:locative:singular:feminine:animate:short:positive	adjective	strict	мнозѣ	мно́зѣ	ponomar-elizabeth-bible-2026-08-09	Acts.20.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:locative:singular:feminine:animate:short:positive,adjective:locative:singular:feminine:inanimate:short:positive
37	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:locative:singular:feminine:inanimate:short:positive	adjective	strict	мнозѣ	мно́зѣ	ponomar-elizabeth-bible-2026-08-09	Acts.20.9	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:locative:singular:feminine:animate:short:positive,adjective:locative:singular:feminine:inanimate:short:positive
38	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:plural:neuter:animate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
39	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:plural:neuter:inanimate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
40	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:singular:feminine:animate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
41	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:singular:feminine:inanimate:short:positive	adjective	strict	многа	мно́га	ponomar-elizabeth-bible-2026-08-09	Apoc.19.1	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:genitive:singular:masculine:animate:short:positive,adjective:genitive:singular:masculine:inanimate:short:positive,adjective:genitive:singular:neuter:animate:short:positive,adjective:genitive:singular:neuter:inanimate:short:positive,adjective:nominative:plural:neuter:animate:short:positive,adjective:nominative:plural:neuter:inanimate:short:positive,adjective:nominative:singular:feminine:animate:short:positive,adjective:nominative:singular:feminine:inanimate:short:positive
42	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:singular:neuter:animate:short:positive	adjective	strict	многѡ	мно́гѡ	ponomar-elizabeth-bible-2026-08-09	Acts.18.27	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:neuter:animate:short:positive,adjective:nominative:singular:neuter:inanimate:short:positive
43	synodal:adjective:v06-e3bdc69bb0fe41f0	adjective:nominative:singular:neuter:inanimate:short:positive	adjective	strict	многѡ	мно́гѡ	ponomar-elizabeth-bible-2026-08-09	Acts.18.27	exact-attestation	blocked-cell-ambiguity	the surface is generated for multiple cells: adjective:nominative:singular:neuter:animate:short:positive,adjective:nominative:singular:neuter:inanimate:short:positive
