# projection-study.tsv — per-OCS-lexeme detail of the phase-1 projection study.
# generated-by: cargo xtask projection-study
# contract: docs/UNIFIED_LANGUAGE_PROMPT.md (execution plan step 1).
lexeme_id	pos	lemma	candidates	match_kind	matched_key	cells	cells_exact	cells_accent_blind	cells_divergent	cells_unprojectable
брада|noun|5d879cb5d057f85d	noun	брада	1	oracle-type	брада	21	0	15	6	0
брадꙑ|noun|3426004592e1f508	noun	брадꙑ	1	oracle-type	брады	22	0	2	20	0
бразда|noun|363ac4f2a339f7c6	noun	бразда	1	none		21	0	8	13	0
бракъ|noun|7c0e93ecafd25281	noun	бракъ	1	registered-lexeme	бракъ	21	0	11	10	0
брань|noun|4c88e21d6e2c59f7	noun	брань	1	registered-lexeme	брань	26	0	14	12	0
братиꙗ|noun|7c598bdda776ef22	noun	братиꙗ	1	none		21	0	0	21	0
братолюбьствиѥ|noun|f090afd7e15f7659	noun	братолюбьствиѥ	3	none		21	0	0	21	0
братолюбьство|noun|f4a092bce6d1fb9d	noun	братолюбьство	3	none		21	0	0	21	0
братоненавидьникъ|noun|d1e52260c8adb797	noun	братоненавидьникъ	3	none		21	0	0	21	0
братоучѧдъ|noun|1e4cf4e51ba88ea2	noun	братоучѧдъ	1	none		21	0	0	21	0
братрьство|noun|62c4700d91680569	noun	братрьство	3	none		21	0	0	21	0
братрьꙗ|noun|21602371cf34c3e3	noun	братрьꙗ	3	none		21	0	0	21	0
братъ|noun|8a09ef50fdd7ca36	noun	братъ	1	registered-lexeme	братъ	23	0	17	6	0
брашьно|noun|62f6a1340e00f8a9	noun	брашьно	3	registered-lexeme	брашно	21	0	18	3	0
брашьньце|noun|1e40bfc7555c59ef	noun	брашьньце	9	none		21	0	0	21	0
бритва|noun|fc768d4c0337d6ea	noun	бритва	1	oracle-type	бритва	21	0	9	12	0
бръзда|noun|9338d49e8f730a68	noun	бръзда	3	none		21	0	9	12	0
брънѩ|noun|00934e16b425711c	noun	брънѩ	3	oracle-type	бронѧ	7	0	4	3	0
бръселиѥ|noun|60abe9e918be9625	noun	бръселиѥ	3	none		21	0	0	21	0
брьвьно|noun|5a381d2cddd8121d	noun	брьвьно	9	none		21	0	0	21	0
брьна|noun|1f8e4cc7d5b28253	noun	брьна	3	none		21	0	0	21	0
брьниѥ|noun|8f06243e11750f6f	noun	брьниѥ	3	none		21	0	0	21	0
брѣгъ|noun|a1939a0059ca7b2f	noun	брѣгъ	1	none		21	0	0	21	0
брѣзьнъ|noun|067c4c3f6c1058a0	noun	брѣзьнъ	3	none		21	0	0	21	0
брѣмѧ|noun|108c06c9fa1f6105	noun	брѣмѧ	1	registered-lexeme	брѣмѧ	21	0	0	21	0
