id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
наконецъ.x.2	наконе́цъ	x	-	-	adv	a	-	-	word=на́конецъ	P:-	adv
намнозѣ.x.2	намно́зѣ	x	-	-	adv	a	-	-	-	P:-	adv
нань.x	на́нь	x	-	-	contr	a	-	-	-	H:	contr; на + нь: на́ньже, Alypy §47
написаннѡ.x.2	напи́саннѡ	x	-	-	adv	a	-	-	-	P:-	adv
наподобіе.x.2	наподо́бїе	x	-	-	prep	a	gov=gen;pros=procl	-	-	P:-	pr
напослѣди.x.2	напослѣдѝ	x	-	-	adv	a	-	-	-	P:-	adv
напослѣдокъ.x.2	напослѣ́докъ	x	-	-	adv	a	-	-	-	P:-	adv
напреди.x.2	напредѝ	x	-	-	adv	a	-	-	-	P:-	adv
напредъ.x.2	напре́дъ	x	-	-	adv	a	-	-	-	P:-	adv
напредь.x.2	напре́дь	x	-	-	adv	a	-	-	-	P:-	adv
напротивъ.x.2	напроти́въ	x	-	-	adv	a	-	-	word=напро́тивъ	P:-	adv
наразвлеченнѡ.x.2	наразвле́ченнѡ	x	-	-	adv	a	-	-	-	P:-	adv
нарочнѡ.x.2	наро́чнѡ	x	-	-	adv	a	-	-	-	P:-	adv
нарочнѣ.x.2	наро́чнѣ	x	-	-	adv	a	-	-	-	P:-	adv
нарѧдꙋ.x.2	нарѧдꙋ̀	x	-	-	adv	a	-	-	-	P:-	adv
насильственнѡ.x.2	наси́льственнѡ	x	-	-	adv	a	-	-	-	P:-	adv
наскорѣ.x.2	на́скорѣ	x	-	-	adv	a	-	-	-	P:-	adv
насреди.x.2	насредѝ	x	-	-	adv	a	-	-	-	P:-	adv
насꙋе.x.2	насꙋ́е	x	-	-	adv	a	-	-	-	P:-	adv
наꙋтріе.x.2	наꙋ́трїе	x	-	-	adv	a	-	-	word=наꙋ́трїѧ|наꙋ́трїи	P:-	adv
не.x.2	не	x	-	-	part	-	pros=procl	-	-	P:-	part
неблаговременнѡ.x.2	неблаговре́меннѡ	x	-	-	adv	a	-	-	-	P:-	adv
неблазненнѡ.x.2	небла́зненнѡ	x	-	-	adv	a	-	-	-	P:-	adv
