source_row	lemma	class	class_four_basic_stem
1515	защитити	1	-
1524	звѧщи	4c	звѧг
1535	зинѫти	5	-
1552	зыбати	3	-
1559	зьрѣти	2	-
1561	зѧти	4c	зѧб
1566	играти	7	-
1571	избавл҄ꙗти	7	-
1574	избавити	1	-
1576	избадати	7	-
1577	избивати	7	-
1578	избирати	7	-
1581	избости	4c	избод
1582	избывати	7	-
1585	избытъковати	6	-
1587	избытъчьствовати	6	-
1590	избѣгати	7	-
1591	избѣгнѫти	5	-
1592	избѣжати	2	-
1593	изваꙗти	3	-
1594	извалити	1	-
1595	извести	4c	извед
1596	извести	4c	извез
1597	истъщити	1	-
1599	истьлити	1	-
1601	истънити	1	-
1602	истѣкати	7	-
1603	истѧѕати	7	-
1604	исунѫти	5	-
1605	исушити	1	-
1606	исхаждати	7	-
1607	исхватити	1	-
1609	исходатаꙗти	3	-
1613	кръмити	1	-
1614	кръмити	1	-
1619	кръчьмл҄ꙗвати	7	-
1627	крьстити	1	-
1630	крьщати	7	-
1632	крѣпити	1	-
1636	куꙗти	7	-
1638	кудити	1	-
1644	извлачити	1	-
1647	изводити	1	-
1648	изволити	1	-
1649	изврачевати	6	-
1651	извыкнѫти	5	-
1653	извѣстити	1	-
1654	извѣстовати	6	-
1659	извѣщати	7	-
1660	извѣщати	7	-
1662	извѧзати	3	-
1663	изган҄ꙗти	7	-
1664	изглаголати	3	-
1665	изгладити	1	-
1667	изгонити	1	-
1668	изгорѣти	2	-
1669	изгубити	1	-
1672	изгыбати	7	-
1673	издаꙗти	3	-
1676	издрастити	1	-
1681	издъхнѫти	5	-
1683	издыхати	7	-
1685	издѣꙗти	3	-
1686	издѣлати	7	-
1689	излазити	1	-
1691	изливати	7	-
1693	изломити	1	-
1695	излѣсти	4c	излѣз
1697	измѫдрѣвати	7	-
1698	измлькнѫти	5	-
1699	изморити	1	-
1702	измъждати	7	-
1703	измъкнѫти	5	-
1705	измѣн҄ꙗти	7	-
1708	измѣнити	1	-
1709	измѣновати	6	-
1710	измѣрити	1	-
1711	изнемагати	7	-
1712	изнемощи	4c	изнемог
1713	изнести	4c	изнес
1714	износити	1	-
1717	изнурити	1	-
1718	изобати	3	-
1719	изобиловати	6	-
1721	изобличати	7	-
1723	изобрѣтати	7	-
1725	изострити	1	-
1727	изумѣти	7	-
1728	изъꙗснити	1	-
1729	изъчитати	7	-
1737	именовати	6	-
1749	исѫчити	1	-
1750	исказити	1	-
1755	исконьчавати	7	-
1756	исконьчати	7	-
1758	ископати	7	-
1759	искоренити	1	-
1760	искочити	1	-
1762	искрасти	4c	изкрад
1765	искупити	1	-
1766	искуповати	6	-
1768	искусити	1	-
1772	искушати	7	-
1774	искыдати	7	-
1775	искыпѣти	2	-
1776	ислѣдити	1	-
1777	испадати	7	-
1778	испасти	4c	изпад
1780	исплести	4c	изплет
1781	испльн҄ꙗти	7	-
1783	испльнити	1	-
1786	исповѣдати	7	-
1787	исповѣдовати	6	-
1794	испочити	4v	-
1795	исправл҄ꙗти	7	-
1798	исправити	1	-
1799	испразнити	1	-
1800	испрахнѣти	7	-
1802	испросити	1	-
1804	испустити	1	-
1805	испущати	7	-
1808	испытати	7	-
1811	истаꙗти	3	-
1812	истаити	1	-
1813	истапл҄ꙗти	7	-
1818	истирати	7	-
1819	истискати	7	-
1820	истѫпити	1	-
1822	истопити	1	-
1823	источити	1	-
1826	истръгати	7	-
1827	истръгнѫти	5	-
1828	истрѣбл҄ꙗти	7	-
1830	истрѣбити	1	-
1831	истрѧсти	4c	изтрѧс
1835	истъкнѫти	5	-
1836	истъщати	7	-
1838	исходити	1	-
1842	исхытити	1	-
1843	исъхнѫти	5	-
1844	исыпати	3	-
1846	исѣщи	4c	изсѣк
1847	исѧкнѫти	5	-
1849	ицѣл҄ꙗти	7	-
1852	ицѣлити	1	-
1854	ицѣлѣвати	7	-
1855	ицѣлѣти	7	-
1856	ичезнѫти	5	-
1872	ѫродити	1	-
1873	ѫродовати	6	-
1878	ѫродьствовати	6	-
1886	кл҄ѥветати	3	-
1891	кл҄ючати	7	-
1892	кл҄ючити	1	-
1896	каꙗти	3	-
1898	кал҄ꙗти	7	-
1901	кадити	1	-
1904	казати	3	-
1905	казити	1	-
1917	капати	7	-
1922	касати	7	-
1931	клан҄ꙗти	7	-
1934	класти	4c	клад
1938	клатити	1	-
1940	клепати	3	-
1943	клокотати	3	-
1944	клонити	1	-
1946	кльцати	7	-
1947	кльчьтати	3	-
1953	клѧчати	2	-
1978	колѣбати	3	-
1982	комъкати	7	-
1985	коньчавати	7	-
1987	коньчати	7	-
1990	копати	7	-
2001	корити	1	-
2004	коснѫти	5	-
2007	которати	7	-
2022	красити	1	-
2023	красовати	6	-
2026	красти	4c	крад
2034	кричати	2	-
2041	кропити	1	-
2042	кротити	1	-
2049	кръкнѫти	5	-
2054	купити	1	-
2055	куповати	6	-
2060	курити	1	-
2071	къснити	1	-
2077	кыпѣти	2	-
2080	кычити	1	-
2082	лаꙗти	3	-
2083	лаꙗти	3	-
2089	ласкати	7	-
2092	лежати	2	-
2093	летѣти	2	-
2096	лизати	3	-
2097	ликовати	6	-
2099	ликъствовати	6	-
2106	лиховати	6	-
2110	лишати	7	-
2112	лишити	1	-
2117	лѫкавьновати	6	-
2122	лѫчити	1	-
2125	лобъзати	3	-
2127	лобызати	7	-
2129	ловити	1	-
2139	ломити	1	-
2147	лучати	7	-
2149	лучити	1	-
2151	лъгати	3	-
2161	льгъчити	1	-
2165	льстити	1	-
2170	льщати	2	-
2173	лѣгати	3	-
2175	лѣнити	1	-
2181	лѣпьствовати	6	-
2192	лѧцати	3	-
2193	мазати	3	-
2199	мастити	1	-
2211	миловати	6	-
2218	минѫти	5	-
2219	миновати	6	-
2224	мѫдити	1	-
2225	мѫдрити	1	-
2227	мѫдровати	6	-
2232	мѫдрьствовати	6	-
2234	мѫжати	7	-
2241	мѫтити	1	-
2251	мѫчити	1	-
2266	млъвити	1	-
2273	мльчати	2	-
2284	молитвовати	6	-
2287	молити	1	-
2294	мочити	1	-
2296	мощи	4c	мог
2299	мразити	1	-
2305	мръзѣти	2	-
2306	мръкнѫти	5	-
2336	мъножати	7	-
2337	мъножити	1	-
2343	мъчати	2	-
2346	мыслити	1	-
2358	мьн҄ити	1	-
2360	мьнѣти	2	-
2361	мьстити	1	-
2366	мьщати	7	-
2375	мѣнити	1	-
2376	мѣнити	1	-
2379	мѣрити	1	-
2380	мѣсити	1	-
2387	мѧсти	4c	мѧт
2393	навадити	1	-
2394	навести	4c	навед
2397	наводити	1	-
2398	наводьнити	1	-
2399	навыкнѫти	5	-
