source_id	artifact_id	transport	url	path	sha256	size_bytes	format	signature	content_types
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p059.htm	direct	https://www.ponomar.net/files/gama2/p059.htm	downloads/alypy-grammar/p059.htm	7d0075c67c6dee9a4cdf445686fbdf92cff60320421db3fbb9f6aa6b20c1f30b	12992	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p060.htm	direct	https://www.ponomar.net/files/gama2/p060.htm	downloads/alypy-grammar/p060.htm	0e68b15053da8b16b62228316e8d39bd49b68809f117f9f96d07810ad4d990e7	4937	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p060app.htm	direct	https://www.ponomar.net/files/gama2/p060app.htm	downloads/alypy-grammar/p060app.htm	2e03fdedbd406a5f3a5f93ec49dba38933cec6c67ef8c32cc60a38709a353e86	5339	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p061.htm	direct	https://www.ponomar.net/files/gama2/p061.htm	downloads/alypy-grammar/p061.htm	78820bf1f13d6fc7817db3771af3a17e11e78963d7a155630a617047f2feb3e2	4191	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p062.htm	direct	https://www.ponomar.net/files/gama2/p062.htm	downloads/alypy-grammar/p062.htm	1fc556f30d39021ab1748e8d3a76fc90f998105a749f9ed479d4eec877be14e8	16543	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p063.htm	direct	https://www.ponomar.net/files/gama2/p063.htm	downloads/alypy-grammar/p063.htm	00267440b322f8dabfe513b4c1cd8920279a2511f4b93c72f0cc730d5af59cee	7342	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p064.htm	direct	https://www.ponomar.net/files/gama2/p064.htm	downloads/alypy-grammar/p064.htm	21f97ae959d8791f2651d3ad7964f59c7e52ed06de1d7eb280d24336b9a71f59	10598	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p065.htm	direct	https://www.ponomar.net/files/gama2/p065.htm	downloads/alypy-grammar/p065.htm	fd909afb761957979818f42e9aa9ee78c0be2550286dca85549988a57bd02182	4902	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p066.htm	direct	https://www.ponomar.net/files/gama2/p066.htm	downloads/alypy-grammar/p066.htm	301f47e53d0dc0632ae30c86e3907741e080a85d89cbff49e351d7a3a5a3b651	5218	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p067.htm	direct	https://www.ponomar.net/files/gama2/p067.htm	downloads/alypy-grammar/p067.htm	78036c3e93c19996a00b4673107333e2ead12cd484b6b86a74ed69ec61e3703c	5156	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p068.htm	direct	https://www.ponomar.net/files/gama2/p068.htm	downloads/alypy-grammar/p068.htm	2cf23da8fdaf5854a483ed6b029ee8e38a55a5a5df39a322139af2b7c46a9f00	5531	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p068app.htm	direct	https://www.ponomar.net/files/gama2/p068app.htm	downloads/alypy-grammar/p068app.htm	884719c0c1acf24c0b4a8fd7babc22bbcc4a5c0773506ad6347944e2a4efc06b	9037	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p069.htm	direct	https://www.ponomar.net/files/gama2/p069.htm	downloads/alypy-grammar/p069.htm	ca75d0285f6b48c839464004b7bf9b30b837d4eb439909c2a65728d3d01291dd	7569	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p070.htm	direct	https://www.ponomar.net/files/gama2/p070.htm	downloads/alypy-grammar/p070.htm	704721c052a28ace276b40b48fb4830fa38215e6dadff9326abb90dd7ce4b051	3235	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p070app.htm	direct	https://www.ponomar.net/files/gama2/p070app.htm	downloads/alypy-grammar/p070app.htm	fb39aba7c0cc9c83e4faef6d115f57cf592d695c7ce9c7855bfa1e55c481bc43	5748	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p071.htm	direct	https://www.ponomar.net/files/gama2/p071.htm	downloads/alypy-grammar/p071.htm	a9495899505e7215bc2e96bf265f5bf861972746cd1574c587cdb8ac9a6cff37	8166	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p072.htm	direct	https://www.ponomar.net/files/gama2/p072.htm	downloads/alypy-grammar/p072.htm	51ada928f3752af2d8bb8d7143e4e61144c172f50ae5c1bd89d07a3a6bd0d939	5594	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p073.htm	direct	https://www.ponomar.net/files/gama2/p073.htm	downloads/alypy-grammar/p073.htm	f97911649e0b5a635b808daf68b92ca7d6c442ee5342337e6f7536d112a052f0	8970	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p074-077.htm	direct	https://www.ponomar.net/files/gama2/p074-077.htm	downloads/alypy-grammar/p074-077.htm	b08e90eba8dafb9062638958aab5296653ab9acffd04dbf3aedc9281df485b53	11415	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p078.htm	direct	https://www.ponomar.net/files/gama2/p078.htm	downloads/alypy-grammar/p078.htm	2114722c00ce0854f277b79947f1528dce281bb13fb76f4d276f0e12d83faf2f	4106	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p079.htm	direct	https://www.ponomar.net/files/gama2/p079.htm	downloads/alypy-grammar/p079.htm	d7d62c9cfa6695f2f6d6fd4a588e4f9d49890d7fd28cd240471ea85b9478b9b3	3924	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p080.htm	direct	https://www.ponomar.net/files/gama2/p080.htm	downloads/alypy-grammar/p080.htm	d405c794c41f20c00e1bddf36eaa758ee3146ea8c0fdbd731f27c331c72f6a85	11433	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p081.htm	direct	https://www.ponomar.net/files/gama2/p081.htm	downloads/alypy-grammar/p081.htm	47e294d9a3c95926dd5b0746970c62b8ec8f60814ef1864d550baf055b6b327f	16123	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p082.htm	direct	https://www.ponomar.net/files/gama2/p082.htm	downloads/alypy-grammar/p082.htm	0d02b1c15179bb1301458408b39a4a7dde4cd48b54c5c9fd2e8f1b760e12008a	7558	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p083.htm	direct	https://www.ponomar.net/files/gama2/p083.htm	downloads/alypy-grammar/p083.htm	21e2150356d86a3be8709c9001b52ced610732770adf90169d5075309032e91d	6089	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p084-085.htm	direct	https://www.ponomar.net/files/gama2/p084-085.htm	downloads/alypy-grammar/p084-085.htm	f785b8bfde3bec625052a2c2cf3e89bcdcd0f77100fa0360db78dba07e923f8e	6117	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p086.htm	direct	https://www.ponomar.net/files/gama2/p086.htm	downloads/alypy-grammar/p086.htm	5ae9b6d8a51c531d53ef94a98aee6e6054e2e500567b11beafbeeb5c0d9a6c6b	11726	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p087.htm	direct	https://www.ponomar.net/files/gama2/p087.htm	downloads/alypy-grammar/p087.htm	509172a921a57c2f6c9ba33e7fccfd4251e1f39715fc81da658d550dca44b1d3	19981	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p088.htm	direct	https://www.ponomar.net/files/gama2/p088.htm	downloads/alypy-grammar/p088.htm	f4f23ef65cad467c5e24b38b2fc1a611330f88a98a0e6a6b79165b63ea68b758	5439	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p089.htm	direct	https://www.ponomar.net/files/gama2/p089.htm	downloads/alypy-grammar/p089.htm	e27ab149c626d27e7eac7a980c5fb3daf36dc5f5b7fba77f5b5b6849d6ec853b	5337	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p090.htm	direct	https://www.ponomar.net/files/gama2/p090.htm	downloads/alypy-grammar/p090.htm	4d382c1cc3021d431558ddca11006586875132390ed909a5147c40164516e4e6	6533	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p091.htm	direct	https://www.ponomar.net/files/gama2/p091.htm	downloads/alypy-grammar/p091.htm	8138694e740c050465aa09d407ad241ed423ce3f6dfba7fe659dfdde22896fa2	8792	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p092.htm	direct	https://www.ponomar.net/files/gama2/p092.htm	downloads/alypy-grammar/p092.htm	f3f72c14abb074f1efa96d95b73969d4049d9c6b54d6e916ec5cf655cfeee882	2374	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p093.htm	direct	https://www.ponomar.net/files/gama2/p093.htm	downloads/alypy-grammar/p093.htm	d9401c95efc190e8aa8f946e6d590c8b46f4f3108908bc752e08eea958ac2a80	16309	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p094.htm	direct	https://www.ponomar.net/files/gama2/p094.htm	downloads/alypy-grammar/p094.htm	b4459a9a22fbcf66c260a47492f5d571aa6c66ab3d02de33acdcc706409630c8	2677	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p095.htm	direct	https://www.ponomar.net/files/gama2/p095.htm	downloads/alypy-grammar/p095.htm	ac83305cda59535b18c6379b717651d2e60933c3eb4f58b8b0ceebf5e33f13c2	8109	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p096.htm	direct	https://www.ponomar.net/files/gama2/p096.htm	downloads/alypy-grammar/p096.htm	a41b6e9408a0bcfaebf69ce6c92719e96b9faaab11c5031ec1b809df36d1a4e0	10183	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p097.htm	direct	https://www.ponomar.net/files/gama2/p097.htm	downloads/alypy-grammar/p097.htm	d2ce72cb9047a397b9265cc4aa30f339a49098e7f83bc02364ca6b6602e83187	3175	html	html	-
