normalized_type	corpus_frequency	selector
градскꙋю	2	sha256-mod-20
гробѡвъ	22	sha256-mod-20
гробѣхъ	32	sha256-mod-20
грѣховъ	1	sha256-mod-20
грѣшнагѡ	4	sha256-mod-20
грѣшникѡмъ	23	sha256-mod-20
грѣшнымъ	6	sha256-mod-20
грѧдемъ	2	sha256-mod-20
грѧди	110	sha256-mod-20
грѧдꙋщемъ	2	sha256-mod-20
грѧдꙋщꙋю	6	sha256-mod-20
гїгантѡвъ	2	sha256-mod-20
гѡзанꙋ	2	sha256-mod-20
гѡнаѳовымъ	4	sha256-mod-20
гꙋбительства	1	sha256-mod-20
давана	2	sha256-mod-20
давше	4	sha256-mod-20
давідово	8	sha256-mod-20
давідовымъ	6	sha256-mod-20
дадꙋтсѧ	6	sha256-mod-20
дальшихъ	2	sha256-mod-20
дамаскꙋ	8	sha256-mod-20
данною	2	sha256-mod-20
дановыхъ	22	sha256-mod-20
данъ	45	sha256-mod-20
дары	202	sha256-mod-20
дарїа	26	sha256-mod-20
дарѡмъ	2	sha256-mod-20
дастъ	437	sha256-mod-20
дателю	2	sha256-mod-20
дающе	8	sha256-mod-20
даѳанꙋ	4	sha256-mod-20
двернагѡ	2	sha256-mod-20
двигнемъ	4	sha256-mod-20
движенїѧ	6	sha256-mod-20
движꙋщихсѧ	4	sha256-mod-20
дворъ	118	sha256-mod-20
двєрнаѧ	6	sha256-mod-20
двѣстѣ	28	sha256-mod-20
дв҃да	33	sha256-mod-20
девѡнъ	8	sha256-mod-20
девѧтѣмъ	2	sha256-mod-20
день	2640	sha256-mod-20
дервїю	6	sha256-mod-20
держайсѧ	12	sha256-mod-20
держащесѧ	8	sha256-mod-20
держащыѧсѧ	6	sha256-mod-20
дерзосердъ	2	sha256-mod-20
дерзымъ	2	sha256-mod-20
десныѧ	38	sha256-mod-20
десѧтины	78	sha256-mod-20
десѧтинѣ	12	sha256-mod-20
десѧтихъ	4	sha256-mod-20
десѧтотысѧщнаѧ	2	sha256-mod-20
дивисѧ	12	sha256-mod-20
дивитисѧ	13	sha256-mod-20
дивїѧгѡ	2	sha256-mod-20
дисонѡвы	2	sha256-mod-20
дневнагѡ	2	sha256-mod-20
днемъ	36	sha256-mod-20
доблїй	2	sha256-mod-20
добри	6	sha256-mod-20
добротѣ	12	sha256-mod-20
добръ	50	sha256-mod-20
добрѣмъ	2	sha256-mod-20
добываше	2	sha256-mod-20
доволное	4	sha256-mod-20
доволствомъ	1	sha256-mod-20
довольныхъ	2	sha256-mod-20
довѡльна	4	sha256-mod-20
долголѣтенъ	6	sha256-mod-20
долгъ	16	sha256-mod-20
долгꙋ	2	sha256-mod-20
долженъ	42	sha256-mod-20
дольнѣйшей	1	sha256-mod-20
домъ	1745	sha256-mod-20
домѣхъ	57	sha256-mod-20
досадителей	4	sha256-mod-20
досажденїемъ	8	sha256-mod-20
достигнемъ	2	sha256-mod-20
достигша	2	sha256-mod-20
достоинъ	74	sha256-mod-20
достойный	4	sha256-mod-20
достойнꙋ	2	sha256-mod-20
достоѧнїѧ	36	sha256-mod-20
достоѧтъ	2	sha256-mod-20
дохновенїе	4	sha256-mod-20
драгоцѣнномꙋ	2	sha256-mod-20
древности	2	sha256-mod-20
древы	4	sha256-mod-20
древѧное	4	sha256-mod-20
древѧныѧ	3	sha256-mod-20
дровосѣчецъ	2	sha256-mod-20
дрѧхла	2	sha256-mod-20
дрꙋгиню	2	sha256-mod-20
дїавѡльскимъ	1	sha256-mod-20
дїонѵсꙋ	2	sha256-mod-20
дѡлжна	2	sha256-mod-20
дѣвича	2	sha256-mod-20
дѣвы	26	sha256-mod-20
дѣйствїю	2	sha256-mod-20
дѣйствꙋемѣй	2	sha256-mod-20
дѣйствꙋетсѧ	2	sha256-mod-20
дѣлаше	4	sha256-mod-20
дѣлѣхъ	125	sha256-mod-20
дѣющаѧ	2	sha256-mod-20
дꙋгꙋ	4	sha256-mod-20
дꙋсѣхъ	2	sha256-mod-20
дꙋховнѣмъ	2	sha256-mod-20
дꙋхѡвнымъ	4	sha256-mod-20
дꙋша	530	sha256-mod-20
дꙋшевное	6	sha256-mod-20
дꙋшиихъ	1	sha256-mod-20
жатвѣ	16	sha256-mod-20
ждꙋщꙋ	2	sha256-mod-20
жегѡма	2	sha256-mod-20
жезлахъ	2	sha256-mod-20
жезлѣхъ	2	sha256-mod-20
желающымъ	6	sha256-mod-20
желѣза	36	sha256-mod-20
желѣзныѧ	14	sha256-mod-20
женами	40	sha256-mod-20
женихъ	28	sha256-mod-20
женолюбивъ	2	sha256-mod-20
женъ	138	sha256-mod-20
жертвахъ	22	sha256-mod-20
жертвенникꙋ	14	sha256-mod-20
жертвенницѣ	12	sha256-mod-20
жертвєннаѧ	10	sha256-mod-20
жестоковыйни	2	sha256-mod-20
жестокосерди	2	sha256-mod-20
жестокости	2	sha256-mod-20
жестокъ	36	sha256-mod-20
жесточае	4	sha256-mod-20
жесточайшими	2	sha256-mod-20
животъ	304	sha256-mod-20
животꙋ	10	sha256-mod-20
живѧ	4	sha256-mod-20
живꙋщемъ	2	sha256-mod-20
живꙋщыѧ	120	sha256-mod-20
жила	4	sha256-mod-20
