key	lexeme_id	source_spellings
богосварьникъ	богосварьникъ|noun|32357bec8b48fe14	canonical:"богосварьникъ" || page:"богосварьникъ"
богословьць	богословьць|noun|6669b43731341787	canonical:"богословьць" || page:"богословьць"
богочьтьць	богочьтьць|noun|e2c408bff4361bb2	canonical:"богочьтьць" || page:"богочьтьць"
богъ	богъ|noun|546877f9dff800e2	canonical:"богъ" || page:"богъ"
богꙑни	богꙑн҄и|noun|fc536e8a351eb89b	page:"богꙑни"
богꙑн҄и	богꙑн҄и|noun|fc536e8a351eb89b	canonical:"богꙑн҄и" || source-canonical:"богꙑн҄и"
божьство	божьство|noun|53b8a55c786eaab7	canonical:"божьство" || page:"божьство"
боль	боль|noun|661b793a6b518605	canonical:"боль" || page:"боль"
боль	боль|noun|e08d47c66937e83d	canonical:"боль" || page:"боль"
больнъ	больнъ|adj|e5ed2cf91c17e3e5	canonical:"больнъ" || page:"больнъ"
болѣзнь	болѣзнь|noun|f9f2e7e7b4f11bc5	canonical:"болѣзнь" || page:"болѣзнь"
болѣзньнъ	болѣзньнъ|adj|a0a28772e8e1f163	canonical:"болѣзньнъ" || page:"болѣзньнъ"
болѣти	болѣти|verb|aff3549c219bfe6a	canonical:"болѣти" || page:"болѣти"
болꙗринъ	болꙗринъ|noun|5b6cf01ec8d25e8d	canonical:"болꙗринъ" || page:"болꙗринъ"
борьць	борьць|noun|a776e29756c7f856	canonical:"борьць" || page:"борьць"
бости	бости|verb|471f0f4e6752f08b	canonical:"бости" || page:"бости"
боудити	боудити|verb|c9838d5d49e4679d	canonical:"боудити" || page:"боудити"
боуи	боуи|adj|a19f2c93947528ec	canonical:"боуи" || page:"боуи"
боуиство	боуиство|noun|055d855b5007533b	canonical:"боуиство" || page:"боуиство"
боукарь	боукарь|noun|1e059bfe29cddb10	canonical:"боукарь" || page:"боукарь"
боукꙑ	боукꙑ|noun|2fef12ead82481ae	canonical:"боукꙑ" || page:"боукꙑ"
боурꙗ	боурꙗ|noun|ff60b18ae4e141a5	canonical:"боурꙗ" || page:"боурꙗ"
боуѥсть	боуѥсть|noun|073bf75ab10705cf	canonical:"боуѥсть" || page:"боуѥсть"
боꙗзнь	боꙗзнь|noun|cdc21a331be02933	canonical:"боꙗзнь" || page:"боꙗзнь"
боꙗти	боꙗти|verb|3974889d746ba3bb	canonical:"боꙗти" || page:"боꙗти"
брада	брада|noun|5d879cb5d057f85d	canonical:"брада" || page:"брада"
брадꙑ	брадꙑ|noun|3426004592e1f508	canonical:"брадꙑ" || page:"брадꙑ"
бразда	бразда|noun|363ac4f2a339f7c6	canonical:"бразда" || page:"бразда"
бракъ	бракъ|noun|7c0e93ecafd25281	canonical:"бракъ" || page:"бракъ"
брань	брань|noun|4c88e21d6e2c59f7	canonical:"брань" || page:"брань"
братиꙗ	братиꙗ|noun|7c598bdda776ef22	canonical:"братиꙗ" || page:"братиꙗ"
братолюбьствиѥ	братолюбьствиѥ|noun|f090afd7e15f7659	canonical:"братолюбьствиѥ" || page:"братолюбьствиѥ"
братолюбьство	братолюбьство|noun|f4a092bce6d1fb9d	canonical:"братолюбьство" || page:"братолюбьство"
