id	lemma	page_word	key	pos	class	raw_class	gender	animacy	number_restriction	head_templates	signature
пламꙑ|noun|d7a6b77ef84e06da	пламꙑ	пламꙑ	пламꙑ	noun	n-m	n-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	d7a6b77ef84e06da
планита|noun|13673eb56f145a5e	планита	планита	планита	noun	a-hard	a-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"f"}}]	13673eb56f145a5e
планитъ|noun|0103838c3bb40663	планитъ	планитъ	планитъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	0103838c3bb40663
планѫти|verb|3d0fe3878ac1b99b	планѫти	планѫти	планѫти	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"?","head":"","tr":""}},{"name":"cu-verb","args":{}}]	3d0fe3878ac1b99b
платъ|noun|e932af09a2bd2b77	платъ	платъ	платъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	e932af09a2bd2b77
плачь|noun|15a7119a73c4faed	плачь	плачь	плачь	noun	jo-m-soft	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	15a7119a73c4faed
плащъ|noun|4ea66e3c29ebec02	плащъ	плащь	плащъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	4ea66e3c29ebec02
племѧ|noun|532fd2adefbd42b6	племѧ	племѧ	племѧ	noun	n-n	n-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	532fd2adefbd42b6
пленица|noun|fe48fc69ad27e4bb	пленица	пленица	пленица	noun	a-hard	a-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"f"}}]	fe48fc69ad27e4bb
плесно|noun|c71071709d98dea4	плесно	плесно	плесно	noun	o-n-hard	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	c71071709d98dea4
плесньце|noun|e61f5db0226afe18	плесньце	плесньце	плесньце	noun	jo-n-soft	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	e61f5db0226afe18
плести|verb|f30b1ae709b26b67	плести	плести	плести	verb	IA1	IA1				[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"impf"}}]	f30b1ae709b26b67
плеще|noun|04a09cbe0bcea73c	плеще	плеще	плеще	noun	jo-n-soft	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	04a09cbe0bcea73c
плинѫти|verb|73bff4341c56e2db	плинѫти	плинѫти	плинѫти	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"impf"}}]	73bff4341c56e2db
плодъ|noun|a704db150a5e7d38	плодъ	плодъ	плодъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	a704db150a5e7d38
плотъ|noun|afafc988b859eb8b	плотъ	плотъ	плотъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	afafc988b859eb8b
