lexeme_id	feature	rank	form	romanization	source_spelling	source_tags
автоно́мъ|noun|db89826d6f6ab492	noun:voc:pl	0	Автоно́ми	Avtonómi	Автоно́ми	plural,vocative
автоно́мъ|noun|db89826d6f6ab492	noun:voc:sg	0	Автоно́ме	Avtonóme	Автоно́ме	singular,vocative
авьнъ|adj|2a25d673ea077283	adj:long:acc:du:f:an	0	авьнѣи	avĭněi	авьнѣи	accusative,dual,feminine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:acc:du:f:in	0	авьнѣи	avĭněi	авьнѣи	accusative,dual,feminine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:acc:du:m:an	0	авьнаꙗ	avĭnaja	авьнаꙗ	accusative,dual,masculine
авьнъ|adj|2a25d673ea077283	adj:long:acc:du:m:in	0	авьнаꙗ	avĭnaja	авьнаꙗ	accusative,dual,masculine
авьнъ|adj|2a25d673ea077283	adj:long:acc:du:n:an	0	авьнѣи	avĭněi	авьнѣи	accusative,dual,feminine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:acc:du:n:in	0	авьнѣи	avĭněi	авьнѣи	accusative,dual,feminine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:acc:pl:f:an	0	авьнꙑѩ	avĭnyję	авьнꙑѩ	accusative,feminine,plural
авьнъ|adj|2a25d673ea077283	adj:long:acc:pl:f:in	0	авьнꙑѩ	avĭnyję	авьнꙑѩ	accusative,feminine,plural
авьнъ|adj|2a25d673ea077283	adj:long:acc:pl:m:an	0	авьнꙑѩ	avĭnyję	авьнꙑѩ	accusative,masculine,plural
авьнъ|adj|2a25d673ea077283	adj:long:acc:pl:m:in	0	авьнꙑѩ	avĭnyję	авьнꙑѩ	accusative,masculine,plural
авьнъ|adj|2a25d673ea077283	adj:long:acc:pl:n:an	0	авьнаꙗ	avĭnaja	авьнаꙗ	accusative,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:acc:pl:n:in	0	авьнаꙗ	avĭnaja	авьнаꙗ	accusative,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:acc:sg:f:an	0	авьнѫѭ	avĭnǫjǫ	авьнѫѭ	accusative,feminine,singular
авьнъ|adj|2a25d673ea077283	adj:long:acc:sg:f:in	0	авьнѫѭ	avĭnǫjǫ	авьнѫѭ	accusative,feminine,singular
авьнъ|adj|2a25d673ea077283	adj:long:acc:sg:m:an	0	авьнꙑи	avĭnyi	авьнꙑи	accusative,masculine,singular
авьнъ|adj|2a25d673ea077283	adj:long:acc:sg:m:in	0	авьнꙑи	avĭnyi	авьнꙑи	accusative,masculine,singular
авьнъ|adj|2a25d673ea077283	adj:long:acc:sg:n:an	0	авьноѥ	avĭnoje	авьноѥ	accusative,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:acc:sg:n:in	0	авьноѥ	avĭnoje	авьноѥ	accusative,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:dat:du:f:an	0	авьнꙑима	avĭnyima	авьнꙑима	dative,dual,feminine
авьнъ|adj|2a25d673ea077283	adj:long:dat:du:f:in	0	авьнꙑима	avĭnyima	авьнꙑима	dative,dual,feminine
авьнъ|adj|2a25d673ea077283	adj:long:dat:du:m:an	0	авьнꙑима	avĭnyima	авьнꙑима	dative,dual,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:dat:du:m:in	0	авьнꙑима	avĭnyima	авьнꙑима	dative,dual,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:dat:du:n:an	0	авьнꙑима	avĭnyima	авьнꙑима	dative,dual,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:dat:du:n:in	0	авьнꙑима	avĭnyima	авьнꙑима	dative,dual,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:dat:pl:f:an	0	авьнꙑимъ	avĭnyimŭ	авьнꙑимъ	dative,feminine,plural
авьнъ|adj|2a25d673ea077283	adj:long:dat:pl:f:in	0	авьнꙑимъ	avĭnyimŭ	авьнꙑимъ	dative,feminine,plural
авьнъ|adj|2a25d673ea077283	adj:long:dat:pl:m:an	0	авьнꙑимъ	avĭnyimŭ	авьнꙑимъ	dative,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:dat:pl:m:in	0	авьнꙑимъ	avĭnyimŭ	авьнꙑимъ	dative,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:dat:pl:n:an	0	авьнꙑимъ	avĭnyimŭ	авьнꙑимъ	dative,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:dat:pl:n:in	0	авьнꙑимъ	avĭnyimŭ	авьнꙑимъ	dative,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:dat:sg:f:an	0	авьнѣи	avĭněi	авьнѣи	dative,feminine,singular
авьнъ|adj|2a25d673ea077283	adj:long:dat:sg:f:in	0	авьнѣи	avĭněi	авьнѣи	dative,feminine,singular
авьнъ|adj|2a25d673ea077283	adj:long:dat:sg:m:an	0	авьноуѥмоу	avĭnujemu	авьноуѥмоу	dative,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:dat:sg:m:in	0	авьноуѥмоу	avĭnujemu	авьноуѥмоу	dative,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:dat:sg:n:an	0	авьноуѥмоу	avĭnujemu	авьноуѥмоу	dative,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:dat:sg:n:in	0	авьноуѥмоу	avĭnujemu	авьноуѥмоу	dative,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:gen:du:f:an	0	авьноую	avĭnuju	авьноую	dual,feminine,genitive
авьнъ|adj|2a25d673ea077283	adj:long:gen:du:f:in	0	авьноую	avĭnuju	авьноую	dual,feminine,genitive
авьнъ|adj|2a25d673ea077283	adj:long:gen:du:m:an	0	авьноую	avĭnuju	авьноую	dual,genitive,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:gen:du:m:in	0	авьноую	avĭnuju	авьноую	dual,genitive,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:gen:du:n:an	0	авьноую	avĭnuju	авьноую	dual,genitive,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:gen:du:n:in	0	авьноую	avĭnuju	авьноую	dual,genitive,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:gen:pl:f:an	0	авьнꙑихъ	avĭnyixŭ	авьнꙑихъ	feminine,genitive,plural
авьнъ|adj|2a25d673ea077283	adj:long:gen:pl:f:in	0	авьнꙑихъ	avĭnyixŭ	авьнꙑихъ	feminine,genitive,plural
авьнъ|adj|2a25d673ea077283	adj:long:gen:pl:m:an	0	авьнꙑихъ	avĭnyixŭ	авьнꙑихъ	genitive,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:gen:pl:m:in	0	авьнꙑихъ	avĭnyixŭ	авьнꙑихъ	genitive,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:gen:pl:n:an	0	авьнꙑихъ	avĭnyixŭ	авьнꙑихъ	genitive,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:gen:pl:n:in	0	авьнꙑихъ	avĭnyixŭ	авьнꙑихъ	genitive,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:gen:sg:f:an	0	авьнꙑѩ	avĭnyję	авьнꙑѩ	feminine,genitive,singular
авьнъ|adj|2a25d673ea077283	adj:long:gen:sg:f:in	0	авьнꙑѩ	avĭnyję	авьнꙑѩ	feminine,genitive,singular
авьнъ|adj|2a25d673ea077283	adj:long:gen:sg:m:an	0	авьнаѥго	avĭnajego	авьнаѥго	genitive,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:gen:sg:m:in	0	авьнаѥго	avĭnajego	авьнаѥго	genitive,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:gen:sg:n:an	0	авьнаѥго	avĭnajego	авьнаѥго	genitive,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:gen:sg:n:in	0	авьнаѥго	avĭnajego	авьнаѥго	genitive,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:ins:du:f:an	0	авьнꙑима	avĭnyima	авьнꙑима	dual,feminine,instrumental
авьнъ|adj|2a25d673ea077283	adj:long:ins:du:f:in	0	авьнꙑима	avĭnyima	авьнꙑима	dual,feminine,instrumental
авьнъ|adj|2a25d673ea077283	adj:long:ins:du:m:an	0	авьнꙑима	avĭnyima	авьнꙑима	dual,instrumental,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:ins:du:m:in	0	авьнꙑима	avĭnyima	авьнꙑима	dual,instrumental,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:ins:du:n:an	0	авьнꙑима	avĭnyima	авьнꙑима	dual,instrumental,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:ins:du:n:in	0	авьнꙑима	avĭnyima	авьнꙑима	dual,instrumental,masculine,neuter
авьнъ|adj|2a25d673ea077283	adj:long:ins:pl:f:an	0	авьнꙑими	avĭnyimi	авьнꙑими	feminine,instrumental,plural
авьнъ|adj|2a25d673ea077283	adj:long:ins:pl:f:in	0	авьнꙑими	avĭnyimi	авьнꙑими	feminine,instrumental,plural
авьнъ|adj|2a25d673ea077283	adj:long:ins:pl:m:an	0	авьнꙑими	avĭnyimi	авьнꙑими	instrumental,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:ins:pl:m:in	0	авьнꙑими	avĭnyimi	авьнꙑими	instrumental,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:ins:pl:n:an	0	авьнꙑими	avĭnyimi	авьнꙑими	instrumental,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:ins:pl:n:in	0	авьнꙑими	avĭnyimi	авьнꙑими	instrumental,masculine,neuter,plural
авьнъ|adj|2a25d673ea077283	adj:long:ins:sg:f:an	0	авьнѫѭ	avĭnǫjǫ	авьнѫѭ	feminine,instrumental,singular
авьнъ|adj|2a25d673ea077283	adj:long:ins:sg:f:in	0	авьнѫѭ	avĭnǫjǫ	авьнѫѭ	feminine,instrumental,singular
авьнъ|adj|2a25d673ea077283	adj:long:ins:sg:m:an	0	авьнꙑимь	avĭnyimĭ	авьнꙑимь	instrumental,masculine,neuter,singular
авьнъ|adj|2a25d673ea077283	adj:long:ins:sg:m:in	0	авьнꙑимь	avĭnyimĭ	авьнꙑимь	instrumental,masculine,neuter,singular
