id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
прьвъ.a	прьвъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.nom=пръвꙑ;long.pos.m.sg.gen=прьвааго;long.pos.m.sg.dat=пръвоумоу;long.pos.m.sg.ins=пръвꙑмъ;long.pos.m.sg.loc=прьвѣѣмъ;long.pos.m.pl.nom=пръвии;long.pos.m.pl.acc=пръвꙑѩ;long.pos.f.sg.nom=пръва;long.pos.f.sg.gen=прьвꙑѧ;long.pos.f.sg.acc=пръвѫѭ;long.pos.n.sg.nom=пръвое;long.pos.n.sg.gen=прьвааго;long.pos.n.sg.dat=пръвооумоу;long.pos.n.sg.ins=пръвꙑимъ;long.pos.n.pl.gen=пръвꙑхъ;long.comp.m.sg.nom=пръвѣи	long.pos.m.sg.nom=пръвꙑи|пръвѣи|прьвъи;long.pos.m.sg.dat=пръвооумоу|прьвоуоумоу;long.pos.m.sg.acc=пръвꙑи;long.pos.m.sg.ins=прьвꙑимъ;long.pos.m.sg.loc=прьвѣѣмь;long.pos.m.pl.gen=пръвꙑихъ|пръвꙑхъ;long.pos.f.sg.nom=пръваꙗ|пръвѣиши;long.pos.f.sg.gen=пръвъиѩ;long.pos.f.sg.acc=пръвѫ;long.pos.n.sg.gen=прьва;long.pos.n.sg.dat=прьвоуоумоу;long.pos.n.sg.acc=пръвоѥ	U:	tie A:-k:ъ
прѣблаженъ.a	прѣблаженъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣвеликъ.a	прѣвеликъ	a	-	-	A:-:ъ	a	-	short.pos.m.sg.ins=прѣвеликомъ;short.pos.n.sg.ins=прѣвеликомъ	-	U:	tie A:-k:ъ
прѣвѣчьнъ.a	прѣвѣчьнъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.gen=прѣвѣчьнааго	-	U:	-
прѣвꙑшии.a	прѣвꙑшии	a	-	-	A:-:и	a	-	long.comp.m.sg.nom=прѣвꙑшьи	-	U:	-
прѣвꙑшьнь.a	прѣвꙑшьнь	a	-	-	A:-:ь	a	-	long.pos.m.sg.dat=прѣвꙑшьнюмоу;long.pos.f.sg.nom=прѣвъишьнѣа	-	U:	tie A:o/a:ь
прѣдобръ.a	прѣдобръ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣдъплъчьнъ.a	прѣдъплъчьнъ	a	-	-	A:-:ъ	a	-	long.pos.m.pl.acc=прѣдъпльчьнꙑѧ	-	U:	-
прѣдъреченъ.a	прѣдъреченъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.gen=прѣдъреченааго	-	U:	-
прѣдьнь.a	прѣдьнь	a	-	-	A:o/a:ь	a	-	short.pos.m.sg.gen=прѣдна;long.pos.m.sg.gen=прѣднаго;long.pos.m.sg.loc=прѣдьнимь;long.pos.m.pl.acc=прѣднꙑѩ;long.pos.m.pl.ins=прѣднꙑми;long.pos.f.pl.ins=прѣднꙑми;long.pos.n.sg.loc=прѣдьнимь	-	U:	-
прѣжденареченъ.a	прѣжденареченъ	a	-	-	A:-:ъ	a	-	long.pos.f.sg.nom=прѣжденареченаа;long.pos.n.sg.gen=прѣжденареченааго	-	U:	tie A:-k:ъ
прѣждереченъ.a	прѣждереченъ	a	-	-	A:-:ъ	a	-	long.pos.m.du.nom=прѣждереченаа	-	U:	-
прѣждьнь.a	прѣждьнь	a	-	-	A:-:ь	-	-	-	-	U:	tie A:o/a:ь
прѣзорьнъ.a	прѣзорьнъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣисподьнь.a	прѣисподьнь	a	-	-	A:o/a:ь	a	-	long.pos.m.sg.gen=прѣисподьнꙗго;long.pos.m.sg.loc=прѣисподниимъ;long.pos.m.pl.acc=прѣисподьнѩѩ;long.pos.m.pl.loc=прѣисподънихъ;long.pos.f.pl.loc=прѣисподънихъ;long.pos.n.pl.dat=прѣисподниимъ;long.pos.n.pl.acc=прѣисподьнꙗа;long.pos.n.pl.loc=прѣисподънихъ;long.comp.m.sg.nom=прѣисподьнѣи	long.pos.m.sg.gen=прѣисподьнѣго;long.pos.m.sg.loc=прѣисподьнимъ|прѣисподьнимь;long.pos.n.pl.acc=прѣисподьнꙗꙗ	U:	-
прѣлихъ.a	прѣлихъ	a	-	-	A:-:ъ	a	-	long.pos.n.sg.ins=прѣлихꙑимъ	-	U:	-
прѣльстьнъ.a	прѣльстьнъ	a	-	-	A:-:ъ	-	-	-	-	K:A:-:ъ	tie A:-k:ъ
прѣлюбодѣи.a	прѣлюбодѣи	a	-	-	A:-:и	a	-	long.pos.m.sg.loc=прѣлюбодѣимъ	-	U:	tie A:o/a:и
прѣлюбодѣинъ.a	прѣлюбодѣинъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣлюбодѣиствьнъ.a	прѣлюбодѣиствьнъ	a	-	-	A:-:ъ	a	-	long.pos.n.sg.gen=прѣлоубодѣиствьнааго	-	U:	-
прѣлѫкавъ.a	прѣлѫкавъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣмилостивъ.a	прѣмилостивъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣмрачьнъ.a	прѣмрачьнъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣмъногъ.a	прѣмъногъ	a	-	-	A:-k:ъ	a	-	short.pos.m.pl.acc=прѣмногꙑ;long.pos.n.sg.dat=прѣмногоумоу;long.pos.n.pl.nom=прѣмногаꙗ	-	U:	-
прѣмьдивъ.a	прѣмьдивъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣмьнь.a	прѣмьнь	a	-	-	A:-:ь	a	-	long.pos.f.sg.acc=прѣмьнѭѫ	-	U:	-
прѣмѫдростьнъ.a	прѣмѫдростьнъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣмѫдръ.a	прѣмѫдръ	a	-	-	A:-:ъ	-	-	-	long.pos.m.sg.nom=прѣмѫдрои;long.pos.m.pl.gen=прѣмѫдръꙇхъ|прѣмѫдрꙑхъ	K:A:-:ъ;U:	tie A:-k:ъ
прѣподобьнъ.a	прѣподобьнъ	a	-	-	A:-:ъ	-	-	-	short.pos.m.sg.nom=прѣподобенъ;short.pos.m.sg.ins=прѣдобъномь;short.pos.m.pl.nom=прѣподобни;long.pos.m.sg.nom=прѣподобънои|прѣподобънꙑи;long.pos.m.sg.gen=прѣподобьнааго|прѣподобънааго|прѣподобънаъго;long.pos.m.sg.dat=прѣподобьноуоумоу|прѣподобъноумоу;long.pos.m.sg.ins=прѣподобьнꙑимъ;long.pos.m.sg.loc=прѣподобьнѣѣмъ;long.pos.m.pl.nom=ппрнии|прдбьнии|прпднии|прѣподобинии;long.pos.m.pl.gen=прѣподобьнъихъ|прѣдбнъиихъ;long.pos.m.pl.dat=прѣподобьнъиимъ|прѣподобьнъимъ;long.pos.m.pl.loc=прѣподобьнѣѣмь;long.pos.f.pl.gen=прѣдбнъиихъ|прѣподобьнъихъ;long.pos.f.pl.dat=прѣподобьнъиимъ|прѣподобьнъимъ;long.pos.n.pl.loc=прѣподобънꙑихъ	K:A:-:ъ;U:	tie A:-k:ъ
прѣпростъ.a	прѣпростъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.gen=прѣпростааго;long.pos.m.sg.dat=прѣпростоуоумоу;long.pos.n.sg.gen=прѣпростааго;long.pos.n.sg.dat=прѣпростоуоумоу	-	U:	tie A:-k:ъ
прѣрочьнъ.a	прѣрочьнъ	a	-	-	A:-:ъ	a	-	short.pos.n.sg.acc=прѣрочъно	-	U:	-
прѣсвѣтьлъ.a	прѣсвѣтьлъ	a	-	-	A:-:ъ	-	-	-	-	K:A:-:ъ	tie A:-k:ъ
прѣсвѧтъ.a	прѣсвѧтъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.ins=прѣсвꙙтꙑимъ;long.pos.n.sg.acc=прѣсвꙙтоѥ	-	U:	-
прѣскврьньнъ.a	прѣскврьньнъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.nom=прѣскврьнънꙑи;long.pos.m.sg.gen=прѣскврьньнааго	-	U:	-
прѣскръбьнъ.a	прѣскръбьнъ	a	-	-	A:-:ъ	a	-	long.pos.n.sg.gen=прѣскръбьнааго	-	U:	-
прѣславьнъ.a	прѣславьнъ	a	-	-	A:-:ъ	a	-	short.pos.n.sg.dat=прѣславъноу;long.pos.m.sg.acc=прѣславънъи;long.pos.n.sg.nom=прѣславъноѥ;long.pos.n.sg.acc=прѣславноѥ;long.pos.n.pl.dat=прѣславънꙑимъ;long.pos.n.pl.loc=прѣславьнѣѣмь	short.pos.n.sg.acc=прѣславъно	U:	tie A:-k:ъ
прѣтрѣбивъ.a	прѣтрѣбивъ	a	-	-	A:-:ъ	-	-	-	-	K:A:-:ъ	tie A:-k:ъ
прѣтьмьнъ.a	прѣтьмьнъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.gen=прѣтьмнааго	-	U:	-
прѣхвальнъ.a	прѣхвальнъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
прѣчистъ.a	прѣчистъ	a	-	-	A:-:ъ	a	-	long.pos.f.sg.gen=прѣчистꙑѧ;long.pos.f.sg.ins=прѣчистоѭ;long.pos.f.pl.acc=прѣчистꙑѧ	-	U:	tie A:-k:ъ
прѣщедръ.a	прѣщедръ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.dat=прѣштедроуоумоу	-	U:	-
псалъмьскъ.a	псалъмьскъ	a	-	-	A:-:ъ	a	-	short.pos.m.sg.loc=пъсаломьстѣ;long.pos.m.pl.loc=псаломъскꙑхъ;long.pos.f.pl.loc=псаломъскꙑхъ;long.pos.n.pl.loc=псаломъскꙑхъ	-	U:	-
пьсии.a	пьсии	a	-	-	A:-:и	a	-	short.pos.f.sg.gen=пъсъѩ	-	U:	-
пьцьльнъ.a	пьцьльнъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.acc=пьцьлънꙑи	-	U:	-
пьшеничьнъ.a	пьшеничьнъ	a	-	-	A:-:ъ	a	-	short.pos.m.sg.gen=пъшеничьна;short.pos.n.sg.nom=пшеничьно;long.pos.m.sg.nom=пъшеничьнꙑи	-	U:	-
пѣготивъ.a	пѣготивъ	a	-	-	A:-:ъ	-	-	-	short.pos.m.pl.dat=пѣготивꙑмъ	K:A:-:ъ;U:	tie A:-k:ъ
пѣньнъ.a	пѣньнъ	a	-	-	A:-:ъ	a	-	long.pos.f.pl.acc=пѣнънꙑѧ	-	U:	-
пѣшь.a	пѣшь	a	-	-	A:o/a:ь	-	-	-	-	K:A:o/a:ь	-
пѧтидесѧтъ.a	пѧтидесѧтъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.acc=пꙙтидесꙙтъ	-	U:	-
пѧтъ.a	пѧтъ	a	-	-	A:-:ъ	-	-	long.pos.n.sg.acc=пѧтое	-	U:	-
пѧтьдесѧтънъ.a	пѧтьдесѧтънъ	a	-	-	A:-:ъ	-	-	long.pos.n.sg.acc=пꙙтьдесꙙтъноѥ	-	U:	-
пѫтьнъ.a	пѫтьнъ	a	-	-	A:-:ъ	a	-	long.pos.n.sg.gen=пѫтьнааго	-	U:	-
пꙋстъ.a	поустъ	a	-	-	A:-:ъ	-	-	-	long.pos.m.sg.loc=поустѣѣмъ;long.pos.n.pl.acc=поустая	K:A:-:ъ;U:	tie A:-k:ъ
рабии.a	рабии	a	-	-	A:-:и	a	-	short.pos.m.sg.ins=робиѥмъ	-	U:	-
работьнъ.a	работьнъ	a	-	-	A:-:ъ	a	-	long.pos.f.sg.gen=роботьнꙑѧ	-	U:	tie A:-k:ъ
рабьскъ.a	рабьскъ	a	-	-	A:-:ъ	a	-	short.pos.m.pl.dat=рабъскомъ	-	U:	-
равьночьстьнъ.a	равьночьстьнъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
равьноѥстьствьнъ.a	равьноѥстьствьнъ	a	-	-	A:-:ъ	a	-	short.pos.m.sg.nom=равноѥстьствьнь	-	U:	-
равьнъ.a	равьнъ	a	-	-	A:-:ъ	-	-	-	short.pos.m.sg.acc=равенъ;short.pos.m.pl.acc=равънꙑ;short.pos.f.sg.nom=равъна;short.pos.f.pl.acc=равънꙑ;short.pos.n.sg.acc=равъно;long.pos.f.sg.acc=равънѫѭ	K:A:-:ъ;U:	tie A:-k:ъ
рагавовъ.a	рагавовъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
радостьнъ.a	радостьнъ	a	-	-	A:-:ъ	a	-	long.pos.m.pl.acc=радостьнъи	-	U:	tie A:-k:ъ
радъ.a	радъ	a	-	-	A:-:ъ	-	-	-	-	K:A:-:ъ	tie A:-k:ъ
различь.a	различь	a	-	-	A:o/a:ь	-	-	-	-	K:A:o/a:ь	-
различьнъ.a	различьнъ	a	-	-	A:-:ъ	a	-	short.pos.m.pl.gen=различенъ;short.pos.m.pl.ins=различънꙑ;short.pos.f.pl.acc=различънꙑ;short.pos.f.pl.ins=различнами;short.pos.f.pl.loc=различьнꙑихъ;short.pos.n.pl.ins=различънꙑ;long.pos.m.pl.nom=розличьнии;long.pos.m.pl.gen=различънꙑихъ;long.pos.m.pl.ins=различьнъꙇми;long.pos.f.pl.acc=различьнꙑѧ	-	U:	tie A:-k:ъ
разлѫчьнъ.a	разлѫчьнъ	a	-	-	A:-:ъ	-	-	-	-	K:A:-:ъ	tie A:-k:ъ
разоумиви.a	разоумиви	a	-	-	A:o/a:и	-	-	long.pos.m.sg.nom=разоумиви	-	U:	tie A:-:ь,A:o/a:ь
разоумьнъ.a	разоумьнъ	a	-	-	A:-:ъ	a	-	short.pos.m.sg.nom=разоуменъ;short.pos.m.pl.gen=разоуменъ;short.pos.n.sg.nom=разоумно;long.pos.m.sg.dat=разоумьноуоумоу;long.pos.m.sg.ins=разоумънꙑимъ;long.pos.m.pl.gen=разоумънъꙇхъ;long.pos.f.sg.ins=разоумънѫѭ	long.pos.m.pl.gen=разоумънꙑхъ	U:	tie A:-k:ъ
раискъ.a	раискъ	a	-	-	A:-:ъ	-	-	long.pos.f.sg.gen=раискꙑѧ;long.pos.n.pl.nom=раиская	-	U:	tie A:-k:ъ
рамѣньскъ.a	рамѣньскъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
раскольнъ.a	раскольнъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.gen=раскольнааго	-	U:	tie A:-k:ъ
раслаблѥнъ.a	раслаблѥнъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.gen=раслабьѥнааго	-	U:	-
распалиньнъ.a	распалиньнъ	a	-	-	A:-:ъ	a	-	long.pos.f.sg.acc=распалинѫѭ	-	U:	-
распоустьнъ.a	распоустьнъ	a	-	-	A:-:ъ	a	-	long.pos.m.pl.acc=распоустънꙑѩ;long.pos.f.pl.acc=распоустънꙑѩ	-	U:	-
распьрьнъ.a	распьрьнъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
ратьничьскъ.a	ратьничьскъ	a	-	-	A:-:ъ	a	-	short.pos.n.sg.gen=ратьничъска	-	U:	tie A:-k:ъ
ратьнъ.a	ратьнъ	a	-	-	A:-:ъ	a	-	long.pos.m.pl.gen=ратънꙑихъ;long.pos.m.pl.dat=ратънꙑимъ;long.pos.m.pl.acc=ратьнꙑѧ	-	U:	-
