id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
слѣпота.n	слѣпота	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
слѣпьць.n	слѣпьць	n	-	-	o:ь:-	a	-	voc.sg=слѣпьче	nom.sg=слѣпецъ;nom.du=слѣпъца|слѣпца;gen.sg=слѣпъца;dat.sg=слѣпьцю;acc.sg=слѣпьца;acc.pl=слѣпьцѩ|слѣпьцꙙ	K:o:ь:-;U:	-
слꙋга.n	слоуга	n	-	-	ak:а:-	-	-	-	nom.du=слоузѣ;nom.pl=слоугъи;dat.sg=слоуꙃѣ	K:ak:а:-;U:	-
слꙋгыни.n	слоугꙑни	n	f	-	a:и:f	-	-	-	-	K:a:и:f	-
слꙋжитель.n	слоужитель	n	m	-	o:ь:m	-	-	-	acc.sg=слоужителꙗ	K:o:ь:m	tie o:ь:f
слꙋжьба.n	слоужьба	n	-	-	a:а:-	-	-	-	nom.pl=слоужьбъи;gen.sg=слоужъбꙑ;gen.pl=слоужъбъ;dat.sg=слоужъбѣ;acc.sg=слоужъбѫ;acc.pl=слоужьбъи;loc.sg=слоужъбѣ	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
слꙋхъ.n	слоухъ	n	-	-	ok:ъ:-	-	-	-	ins.sg=слоухомь	K:ok:ъ:-;U:	tie ok:ъ:m
слꙑшаниѥ.n	слꙑшаниѥ	n	-	-	o:ѥ:-	a	-	gen.sg=слꙑшаньꙗ;acc.pl=слꙑшаниѣ;ins.sg=слꙑшаниимъ	-	U:	-
смокъвьница.n	смокъвьница	n	-	-	a:а:-	a	-	nom.sg=смоковьница;gen.sg=смоковъницѧ;acc.sg=смоковьницѫ;ins.sg=смоковъницеѭ;loc.sg=смоковьници	nom.sg=смоковъница;gen.sg=смоковьницѧ;acc.sg=смоковъницѫ|смокьвницѫ;ins.sg=смоковьницеѭ	U:	-
смокы.n	смокꙑ	n	-	-	vk:ы:-	-	-	-	gen.sg=смокве|смокви|смокъви;dat.sg=смокви;acc.pl=смокви;loc.sg=смокви|смокъви	K:vk:ы:-;U:	tie v:ы:-
